name,group,year,value,Median
IIMA,Ahm,2011,1636346,1515000
IIMA,Ahm,2012,1643840,1588750
IIMA,Ahm,2013,1765353,1680000
IIMA,Ahm,2014,1881376,1800000
IIMA,Ahm,2015,2047633,1970000
IIMA,Ahm,2016,2214043,2100000
IIMA,Ahm,2017,2257815,2200000
IIMA,Ahm,2018,2444783,2300000
IIMA,Ahm,2019,2583126,2400000
IIMA,Ahm,2020,2583126,2400000
IIMKas,Kashipur,2011,0,0
IIMKas,Kashipur,2012,0,0
IIMKas,Kashipur,2013,1012000,900000
IIMKas,Kashipur,2014,1012000,900000
IIMKas,Kashipur,2015,1081185,1081185
IIMKas,Kashipur,2016,1202000,1202000
IIMKas,Kashipur,2017,1317426,1317426
IIMKas,Kashipur,2018,1219041,1219041
IIMKas,Kashipur,2019,1217196,1217196
IIMKas,Kashipur,2020,1382000,1382000
IIMC,Calcutta,2011,0,0
IIMC,Calcutta,2012,0,0
IIMC,Calcutta,2013,0,0
IIMC,Calcutta,2014,0,0
IIMC,Calcutta,2015,0,0
IIMC,Calcutta,2016,0,0
IIMC,Calcutta,2017,2000000,2000000
IIMC,Calcutta,2018,2402000,2200000
IIMC,Calcutta,2019,2540000,2375000
IIMC,Calcutta,2020,2540000,2375000
IIMB,Banglore,2011,0,0
IIMB,Banglore,2012,0,0
IIMB,Banglore,2013,0,0
IIMB,Banglore,2014,0,0
IIMB,Banglore,2015,0,0
IIMB,Banglore,2016,2100000,2000000
IIMB,Banglore,2017,2100000,2100000
IIMB,Banglore,2018,2276000,2200000
IIMB,Banglore,2019,2454000,2300000
IIMB,Banglore,2020,2454000,2300000
IIMK,Kozhikode,2011,0,
IIMK,Kozhikode,2012,0,
IIMK,Kozhikode,2013,1231000,
IIMK,Kozhikode,2014,1231000,
IIMK,Kozhikode,2015,1522000,
IIMK,Kozhikode,2016,1710000,
IIMK,Kozhikode,2017,1765000,
IIMK,Kozhikode,2018,1780000,
IIMK,Kozhikode,2019,1780000,
IIMK,Kozhikode,2020,1780000,
IIMU,Udaipur,2011,0,
IIMU,Udaipur,2012,0,
IIMU,Udaipur,2013,936953,
IIMU,Udaipur,2014,994662,
IIMU,Udaipur,2015,1026362,
IIMU,Udaipur,2016,1191399,
IIMU,Udaipur,2017,1208253,
IIMU,Udaipur,2018,1195947,
IIMU,Udaipur,2019,1225027,
IIMU,Udaipur,2020,1225027,
IIMT,Trichy,2011,0,
IIMT,Trichy,2012,0,
IIMT,Trichy,2013,1092000,
IIMT,Trichy,2014,1100000,
IIMT,Trichy,2015,1132000,
IIMT,Trichy,2016,1301000,
IIMT,Trichy,2017,1380000,
IIMT,Trichy,2018,1428000,
IIMT,Trichy,2019,1491000,
IIMT,Trichy,2020,1496000,
IIMR,Ranchi,2011,0,
IIMR,Ranchi,2012,0,
IIMR,Ranchi,2013,0,
IIMR,Ranchi,2014,0,
IIMR,Ranchi,2015,0,
IIMR,Ranchi,2016,0,
IIMR,Ranchi,2017,1486000,
IIMR,Ranchi,2018,1509000,
IIMR,Ranchi,2019,1502000,
IIMR,Ranchi,2020,1511000,
